,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,Width,Time,species
2229,10067.0,1825.0,24606.0,3692.0,1305.0,347.0,28244.01171875,3245.00048828125,25256.0078125,3430.0,52.0,432.0,1
2230,12387.0,3954.0,7236.0,1151.0,1017.0,538.0,36618.01171875,6118.99951171875,6160.00244140625,1049.0,55.0,520.0,1
2231,13197.0,4643.0,189264.0,27811.0,9904.0,0.0,36212.01171875,6942.99853515625,191529.921875,27773.0,68.0,168.0,1
2232,8584.0,1870.0,28462.0,3471.0,934.0,0.0,23149.001953125,2849.998779296875,28950.9921875,3834.0,59.0,442.0,1
2233,2303.0,1245.0,28949.0,4632.0,1529.0,277.0,12551.99609375,3313.0,25671.01171875,4229.0,48.0,183.0,1
2234,31331.0,11875.0,247035.0,32560.0,9217.0,826.0,82788.9921875,18571.00390625,241864.96875,32084.0,71.0,265.0,1
2235,19777.0,3500.0,193016.0,25151.0,7044.0,0.0,59163.9765625,4759.9990234375,201668.921875,25590.0,68.0,172.0,1
2236,8376.0,3289.0,115012.0,15511.0,4557.0,155.0,43253.01953125,7089.99755859375,112625.03125,15117.0,67.0,282.0,1
2237,3214.0,2174.0,80361.0,11243.0,3724.0,0.0,15939.9951171875,3322.9990234375,76401.0,10620.0,66.0,394.0,1
2238,6540.0,2905.0,14447.0,2180.0,1023.0,129.0,28493.99609375,5740.00146484375,16061.99609375,2128.0,50.0,442.0,1
2239,177.0,0.0,29447.0,4172.0,613.0,0.0,7515.9970703125,1475.0,24849.990234375,3390.0,73.0,494.0,6
2240,17132.0,4398.0,23587.0,3646.0,1127.0,210.0,64318.9765625,6759.0029296875,24685.9921875,4070.0,52.0,488.0,1
2241,0.0,716.0,155994.0,25679.0,9900.0,479.0,8435.0029296875,2435.00048828125,146595.03125,24212.0,71.0,377.0,1
2242,3362.0,1595.0,11223.0,1959.0,942.0,54.0,11516.9970703125,3927.00146484375,12498.9951171875,1959.0,36.0,318.0,6
2243,11481.0,3846.0,176063.0,26191.0,8293.0,325.0,38596.00390625,3857.00048828125,168998.9375,25158.0,68.0,588.0,1
2244,6496.0,777.0,47328.0,6262.0,1698.0,191.0,21352.009765625,2779.998779296875,46908.99609375,6263.0,58.0,465.0,1
2245,4132.0,1355.0,26849.0,3336.0,1321.0,328.0,21134.005859375,2884.999267578125,27207.005859375,3336.0,50.0,229.0,1
2246,13906.0,5198.0,98044.0,13370.0,3779.0,0.0,29335.001953125,8081.00146484375,84185.0078125,11189.0,76.0,448.0,1
2247,9043.0,8231.0,59438.0,7887.0,3157.0,54.0,32536.013671875,12221.0,59724.01171875,7518.0,64.0,160.0,1
2248,5821.0,163.0,41134.0,5810.0,2227.0,468.0,26221.0,2381.998779296875,42250.015625,5847.0,61.0,347.0,6
2249,10093.0,10304.0,160823.0,22700.0,7079.0,461.0,46884.98046875,16597.005859375,158223.984375,22151.0,67.0,373.0,1
2250,11538.0,2685.0,30389.0,4553.0,2493.0,0.0,22665.998046875,4770.0009765625,30407.00390625,4301.0,54.0,273.0,1
2251,18453.0,2297.0,108695.0,12692.0,3825.0,426.0,42315.01953125,3680.000244140625,109322.9609375,12933.0,65.0,183.0,1
2252,5808.0,2106.0,16542.0,2158.0,0.0,91.0,15628.005859375,3580.0009765625,16208.0068359375,2069.0,51.0,219.0,1
2253,9913.0,1508.0,90643.0,13355.0,2514.0,47.0,36910.984375,4741.998046875,89525.0390625,12949.0,69.0,273.0,1
2254,7787.0,13620.0,132682.0,17294.0,4589.0,9.0,24036.99609375,17715.99609375,105923.984375,13878.0,74.0,486.0,1
2255,22034.0,4035.0,134026.0,18463.0,5533.0,0.0,63635.99609375,6909.9970703125,132848.9375,18247.0,67.0,583.0,1
2256,66682.0,3694.0,275980.0,34402.0,12358.0,0.0,154798.0,7171.9990234375,275068.90625,34509.0,69.0,616.0,1
2257,6179.0,4370.0,64861.0,8805.0,1979.0,313.0,17333.005859375,6593.9990234375,65850.9765625,8649.0,64.0,421.0,1
2258,7149.0,3857.0,16797.0,2409.0,1348.0,208.0,21713.005859375,5893.99755859375,16938.998046875,2050.0,42.0,529.0,1
2259,25100.0,2060.0,152692.0,20953.0,5953.0,461.0,58170.00390625,3881.998291015625,153113.0625,20749.0,67.0,432.0,1
2260,10184.0,10469.0,130350.0,18501.0,5299.0,245.0,45723.0,20241.005859375,130253.9453125,18053.0,68.0,190.0,1
2261,10444.0,2207.0,28659.0,4041.0,408.0,240.0,34695.00390625,3140.998779296875,29478.0,3987.0,46.0,500.0,1
2262,7743.0,2772.0,111406.0,15157.0,4406.0,0.0,33355.0078125,3581.998779296875,105372.9609375,13969.0,71.0,187.0,1
2263,21692.0,2092.0,160591.0,21407.0,7303.0,379.0,54756.98828125,4636.99853515625,150325.96875,20449.0,68.0,170.0,1
2264,12248.0,3000.0,248456.0,35496.0,9659.0,1266.0,36642.01171875,4855.001953125,212921.96875,31007.0,81.0,527.0,1
2265,6056.0,2732.0,51266.0,6805.0,2079.0,179.0,24257.0078125,3564.00048828125,50798.99609375,7072.0,63.0,341.0,1
2266,7887.0,1431.0,8831.0,1262.0,158.0,0.0,17708.005859375,4990.001953125,9455.0029296875,1309.0,36.0,486.0,1
2267,8473.0,4216.0,30836.0,3889.0,2103.0,0.0,23751.99609375,5355.001953125,29298.013671875,3575.0,69.0,265.0,1
2268,9072.0,5126.0,115793.0,15634.0,5071.0,222.0,24540.998046875,7324.9990234375,103316.046875,13832.0,68.0,406.0,1
2269,7017.0,2786.0,31627.0,4113.0,1644.0,18.0,27309.01171875,4089.99853515625,28887.009765625,3876.0,59.0,377.0,1
2270,4778.0,999.0,42637.0,6014.0,1772.0,0.0,25527.99609375,2239.0,40665.015625,5493.0,48.0,352.0,1
2271,8014.0,2203.0,26885.0,3667.0,1764.0,481.0,18470.99609375,4245.99951171875,27467.005859375,3601.0,49.0,344.0,1
